Amount	FirstDigit	SecondDigit	FirstTwo
"$12,684.78"	1	2	12
"$1,212.42"	1	2	12
$186.00	1	8	18
"$15,327.93"	1	5	15
"$5,988.63"	5	9	59
"$2,726.02"	2	7	27
"$21,153.38"	2	1	21
"$7,219.40"	7	2	72
$403.69	4	0	40
"$14,672.09"	1	4	14
"$24,195.13"	2	4	24
"$1,181.36"	1	1	11
"$15,411.33"	1	5	15
"$1,517.94"	1	5	15
$251.41	2	5	25
"$8,677.80"	8	6	86
"$3,433.95"	3	4	34
"$4,022.43"	4	0	40
$21.64	2	1	21
$896.81	8	9	89
"$7,063.03"	7	0	70
$220.00	2	2	22
"$26,940.31"	2	6	26
"$19,816.17"	1	9	19
"$2,156.52"	2	1	21
$141.10	1	4	14
"$8,761.22"	8	7	87
$800.97	8	0	80
"$17,361.37"	1	7	17
"$15,991.31"	1	5	15
"$1,031.50"	1	0	10
"$18,447.60"	1	8	18
$734.66	7	3	73
"$17,594.20"	1	7	17
$678.79	6	7	67
$726.38	7	2	72
"$14,836.71"	1	4	14
"$1,326.74"	1	3	13
"$8,963.58"	8	9	89
$186.00	1	8	18
"$17,091.03"	1	7	17
"$1,724.13"	1	7	17
"$13,618.85"	1	3	13
$444.60	4	4	44
"$19,591.71"	1	9	19
"$1,792.10"	1	7	17
$526.24	5	2	52
"$5,512.84"	5	5	55
"$12,934.29"	1	2	12
"$14,782.02"	1	4	14
$628.57	6	2	62
"$13,300.01"	1	3	13
"$52,525.17"	5	2	52
"$13,730.23"	1	3	13
"$12,779.72"	1	2	12
"$1,360.49"	1	3	13
"$25,603.01"	2	5	25
"$13,041.79"	1	3	13
"$16,205.65"	1	6	16
"$5,212.28"	5	2	52
"$2,744.68"	2	7	27
"$20,603.23"	2	0	20
"$25,554.36"	2	5	25
"$14,215.11"	1	4	14
$346.24	3	4	34
$957.18	9	5	95
"$13,875.92"	1	3	13
"$1,001.32"	1	0	10
"$7,539.40"	7	5	75
"$3,648.84"	3	6	36
$143.95	1	4	14
$19.94	1	9	19
$931.91	9	3	93
"$12,842.77"	1	2	12
"$2,160.83"	2	1	21
"$21,262.51"	2	1	21
$60.00	6	0	60
$121.03	1	2	12
"$17,671.28"	1	7	17
"$1,524.46"	1	5	15
"$8,293.65"	8	2	82
"$23,605.34"	2	3	23
"$3,074.09"	3	0	30
$659.22	6	5	65
"$22,639.13"	2	2	22
"$15,533.08"	1	5	15
$674.26	6	7	67
"$15,826.19"	1	5	15
$668.50	6	6	66
"$18,873.02"	1	8	18
"$1,309.34"	1	3	13
"$17,722.46"	1	7	17
"$4,531.42"	4	5	45
"$13,242.18"	1	3	13
$734.36	7	3	73
"$14,154.62"	1	4	14
"$28,381.46"	2	8	28
"$25,980.47"	2	5	25
$186.00	1	8	18
"$1,644.15"	1	6	16
"$12,914.59"	1	2	12
"$15,776.94"	1	5	15
$424.19	4	2	42
"$1,665.09"	1	6	16
$445.72	4	4	44
"$12,088.26"	1	2	12
"$16,593.15"	1	6	16
"$20,698.39"	2	0	20
$572.99	5	7	57
"$11,925.71"	1	1	11
"$13,275.76"	1	3	13
$287.49	2	8	28
"$14,243.33"	1	4	14
"$24,799.20"	2	4	24
"$11,501.97"	1	1	11
"$11,525.86"	1	1	11
"$21,844.66"	2	1	21
"$12,013.11"	1	2	12
"$18,279.06"	1	8	18
$234.25	2	3	23
"$1,055.76"	1	0	10
"$7,787.71"	7	7	77
"$2,014.37"	2	0	20
"$18,149.40"	1	8	18
"$13,040.23"	1	3	13
"$6,309.32"	6	3	63
$328.58	3	2	32
"$11,962.07"	1	1	11
$917.50	9	1	91
"$13,267.38"	1	3	13
"$7,328.31"	7	3	73
"$10,361.42"	1	0	10
"$12,356.58"	1	2	12
"$3,544.56"	3	5	35
"$3,222.99"	3	2	32
$3.99	3	9	39
$835.38	8	3	83
"$11,407.33"	1	1	11
"$1,482.50"	1	4	14
$113.68	1	1	11
"$7,913.68"	7	9	79
"$16,943.00"	1	6	16
"$25,059.29"	2	5	25
"$13,836.13"	1	3	13
"$15,676.86"	1	5	15
$589.25	5	8	58
"$19,794.16"	1	9	19
"$14,379.26"	1	4	14
$641.02	6	4	64
"$1,111.34"	1	1	11
"$16,917.73"	1	6	16
"$15,382.78"	1	5	15
"$16,579.08"	1	6	16
"$11,497.69"	1	1	11
$625.45	6	2	62
"$6,283.56"	6	2	62
"$11,942.57"	1	1	11
"$12,427.24"	1	2	12
$186.00	1	8	18
"$15,316.37"	1	5	15
"$1,561.80"	1	5	15
"$12,073.23"	1	2	12
"$1,533.71"	1	5	15
$458.35	4	5	45
"$10,308.12"	1	0	10
"$17,356.37"	1	7	17
"$27,638.87"	2	7	27
$407.84	4	0	40
"$13,050.25"	1	3	13
$627.70	6	2	62
$145.28	1	4	14
"$14,360.23"	1	4	14
"$13,183.64"	1	3	13
"$10,909.22"	1	0	10
$628.35	6	2	62
"$11,636.97"	1	1	11
"$12,249.33"	1	2	12
"$22,698.41"	2	2	22
"$1,620.21"	1	6	16
"$12,877.54"	1	2	12
"$1,138.82"	1	1	11
"$7,681.08"	7	6	76
"$12,069.31"	1	2	12
"$6,851.08"	6	8	68
"$2,028.69"	2	0	20
"$19,110.77"	1	9	19
"$12,495.34"	1	2	12
$58.36	5	8	58
$598.06	5	9	59
$324.03	3	2	32
"$12,581.62"	1	2	12
$994.22	9	9	99
"$13,628.82"	1	3	13
"$7,516.29"	7	5	75
"$10,818.46"	1	0	10
"$3,907.79"	3	9	39
$844.15	8	4	84
$20.30	2	0	20
"$12,066.95"	1	2	12
$116.20	1	1	11
"$18,101.79"	1	8	18
"$1,519.60"	1	5	15
"$8,118.88"	8	1	81
"$24,344.88"	2	4	24
"$22,307.17"	2	2	22
"$12,624.09"	1	2	12
"$10,128.16"	1	0	10
"$15,438.33"	1	5	15
$454.54	4	5	45
"$1,403.03"	1	4	14
"$17,275.10"	1	7	17
"$17,782.58"	1	7	17
"$14,619.71"	1	4	14
$920.70	9	2	92
"$17,100.48"	1	7	17
"$6,174.15"	6	1	61
$698.32	6	9	69
"$11,602.82"	1	1	11
"$12,869.27"	1	2	12
$186.00	1	8	18
"$16,140.76"	1	6	16
"$13,398.43"	1	3	13
"$1,540.47"	1	5	15
"$9,894.78"	9	8	98
"$10,141.12"	1	0	10
"$2,363.68"	2	3	23
"$18,593.99"	1	8	18
$478.63	4	7	47
"$12,228.70"	1	2	12
$659.21	6	5	65
"$14,863.19"	1	4	14
"$13,332.42"	1	3	13
"$13,826.54"	1	3	13
"$12,415.32"	1	2	12
"$12,479.47"	1	2	12
"$17,323.12"	1	7	17
"$1,613.70"	1	6	16
"$23,375.32"	2	3	23
"$13,590.63"	1	3	13
"$8,883.24"	8	8	88
"$12,254.42"	1	2	12
"$7,149.60"	7	1	71
"$12,828.89"	1	2	12
"$2,107.91"	2	1	21
"$19,642.53"	1	9	19
"$13,032.48"	1	3	13
$371.87	3	7	37
"$13,449.22"	1	3	13
"$1,090.22"	1	0	10
$150.00	1	5	15
"$7,461.60"	7	4	74
"$11,934.63"	1	1	11
"$2,648.14"	2	6	26
"$12,588.87"	1	2	12
$26.19	2	6	26
"$11,836.28"	1	1	11
$993.35	9	9	99
"$17,950.15"	1	7	17
"$25,546.55"	2	5	25
$127.49	1	2	12
"$9,318.61"	9	3	93
"$1,433.58"	1	4	14
"$21,080.38"	2	1	21
"$11,270.59"	1	1	11
$492.12	4	9	49
"$17,413.36"	1	7	17
"$17,987.64"	1	7	17
"$1,021.81"	1	0	10
"$15,396.17"	1	5	15
"$20,430.89"	2	0	20
"$18,013.87"	1	8	18
$34.03	3	4	34
"$12,432.59"	1	2	12
"$15,253.30"	1	5	15
$776.89	7	7	77
"$1,258.83"	1	2	12
"$13,783.05"	1	3	13
"$10,098.02"	1	0	10
$186.00	1	8	18
"$1,666.02"	1	6	16
"$14,274.87"	1	4	14
"$17,806.57"	1	7	17
"$2,105.30"	2	1	21
"$18,051.71"	1	8	18
"$13,608.88"	1	3	13
$669.83	6	6	66
"$14,240.34"	1	4	14
"$15,790.08"	1	5	15
"$14,317.88"	1	4	14
"$13,157.05"	1	3	13
"$9,158.84"	9	1	91
"$1,286.53"	1	2	12
"$13,087.11"	1	3	13
"$14,787.16"	1	4	14
"$1,987.56"	1	9	19
"$20,486.15"	2	0	20
$502.29	5	0	50
"$7,421.71"	7	4	74
$367.80	3	6	36
"$14,207.95"	1	4	14
"$1,433.62"	1	4	14
"$15,331.16"	1	5	15
"$13,837.23"	1	3	13
"$8,547.54"	8	5	85
"$12,908.35"	1	2	12
"$4,771.31"	4	7	47
"$12,979.93"	1	2	12
"$1,050.40"	1	0	10
$20.33	2	0	20
"$24,209.78"	2	4	24
"$21,710.75"	2	1	21
$98.53	9	8	98
"$2,128.12"	2	1	21
"$28,575.64"	2	8	28
"$22,199.86"	2	2	22
$471.00	4	7	47
"$14,306.14"	1	4	14
"$10,583.35"	1	0	10
"$11,300.65"	1	1	11
$585.68	5	8	58
$830.43	8	3	83
"$17,971.08"	1	7	17
"$1,161.73"	1	1	11
"$18,981.10"	1	8	18
"$15,464.88"	1	5	15
"$16,251.54"	1	6	16
"$13,003.61"	1	3	13
$840.02	8	4	84
"$15,428.86"	1	5	15
$186.00	1	8	18
"$10,890.61"	1	0	10
"$1,719.28"	1	7	17
"$13,682.21"	1	3	13
$524.42	5	2	52
"$12,214.26"	1	2	12
"$14,037.50"	1	4	14
"$1,038.78"	1	0	10
"$15,985.72"	1	5	15
"$17,281.34"	1	7	17
"$10,793.85"	1	0	10
"$16,729.30"	1	6	16
$300.74	3	0	30
"$15,035.45"	1	5	15
"$14,755.20"	1	4	14
"$9,260.77"	9	2	92
"$14,538.74"	1	4	14
"$2,752.04"	2	7	27
"$8,312.78"	8	3	83
"$14,969.55"	1	4	14
"$22,832.96"	2	2	22
$540.47	5	4	54
$438.38	4	3	43
"$14,713.29"	1	4	14
"$8,314.06"	8	3	83
"$1,432.82"	1	4	14
"$15,792.46"	1	5	15
"$8,536.91"	8	5	85
"$16,487.74"	1	6	16
"$13,999.66"	1	3	13
"$3,807.05"	3	8	38
"$19,683.31"	1	9	19
"$5,001.29"	5	0	50
$822.20	8	2	82
"$14,310.87"	1	4	14
$82.78	8	2	82
"$21,799.10"	2	1	21
"$15,693.80"	1	5	15
"$1,830.05"	1	8	18
"$2,131.48"	2	1	21
$114.99	1	1	11
"$18,397.91"	1	8	18
"$29,729.81"	2	9	29
"$2,189.78"	2	1	21
"$18,767.77"	1	8	18
"$23,939.03"	2	3	23
$506.54	5	0	50
"$16,244.50"	1	6	16
"$11,465.07"	1	1	11
"$21,485.23"	2	1	21
"$14,700.71"	1	4	14
"$1,656.29"	1	6	16
"$20,815.14"	2	0	20
"$1,062.15"	1	0	10
$718.94	7	1	71
"$11,859.29"	1	1	11
"$16,349.62"	1	6	16
"$9,417.93"	9	4	94
"$15,667.84"	1	5	15
$186.00	1	8	18
"$1,777.30"	1	7	17
"$18,427.87"	1	8	18
"$15,419.91"	1	5	15
"$10,669.17"	1	0	10
"$14,360.87"	1	4	14
"$14,432.18"	1	4	14
"$2,160.61"	2	1	21
"$16,337.68"	1	6	16
"$11,641.13"	1	1	11
$585.63	5	8	58
"$13,925.56"	1	3	13
"$14,291.32"	1	4	14
$848.87	8	4	84
"$16,288.02"	1	6	16
"$16,477.39"	1	6	16
"$14,346.35"	1	4	14
"$15,150.61"	1	5	15
"$1,294.74"	1	2	12
"$13,654.47"	1	3	13
$369.42	3	6	36
"$15,666.68"	1	5	15
"$9,520.31"	9	5	95
"$13,598.89"	1	3	13
"$1,880.40"	1	8	18
"$20,937.63"	2	0	20
"$15,015.41"	1	5	15
$547.28	5	4	54
$105.35	1	0	10
$65.22	6	5	65
"$12,497.38"	1	2	12
$668.62	6	6	66
"$7,602.81"	7	6	76
"$16,767.42"	1	6	16
"$21,710.73"	2	1	21
"$3,713.71"	3	7	37
"$4,567.20"	4	5	45
"$7,901.86"	7	9	79
"$27,026.65"	2	7	27
"$20,701.22"	2	0	20
"$1,990.74"	1	9	19
"$8,831.10"	8	8	88
"$13,799.80"	1	3	13
"$11,570.56"	1	1	11
"$21,650.23"	2	1	21
"$15,273.95"	1	5	15
$478.31	4	7	47
"$15,666.15"	1	5	15
"$19,454.00"	1	9	19
$680.66	6	8	68
"$1,115.35"	1	1	11
"$19,275.38"	1	9	19
"$19,842.16"	1	9	19
"$15,914.37"	1	5	15
"$12,243.96"	1	2	12
$765.05	7	6	76
"$14,804.47"	1	4	14
$186.00	1	8	18
"$10,485.02"	1	0	10
"$17,479.31"	1	7	17
"$16,136.93"	1	6	16
"$1,839.59"	1	8	18
"$16,368.50"	1	6	16
"$1,792.20"	1	7	17
$635.78	6	3	63
"$11,303.46"	1	1	11
"$13,405.17"	1	3	13
$697.01	6	9	69
"$14,683.27"	1	4	14
"$15,941.66"	1	5	15
"$15,277.53"	1	5	15
"$13,738.60"	1	3	13
"$14,708.14"	1	4	14
"$8,964.70"	8	9	89
"$14,911.42"	1	4	14
"$1,232.09"	1	2	12
"$13,121.07"	1	3	13
"$14,673.81"	1	4	14
$521.43	5	2	52
"$2,000.34"	2	0	20
"$22,015.35"	2	2	22
"$7,618.29"	7	6	76
$554.56	5	5	55
"$13,835.71"	1	3	13
"$1,224.43"	1	2	12
"$16,119.13"	1	6	16
"$15,224.65"	1	5	15
"$7,981.35"	7	9	79
"$3,563.77"	3	5	35
"$4,426.88"	4	4	44
"$14,769.69"	1	4	14
$99.75	9	9	99
$725.68	7	2	72
"$12,494.07"	1	2	12
"$1,960.76"	1	9	19
$105.99	1	0	10
"$20,608.63"	2	0	20
"$9,043.68"	9	0	90
"$28,422.34"	2	8	28
$111.59	1	1	11
"$23,255.97"	2	3	23
"$11,232.34"	1	1	11
"$16,182.72"	1	6	16
$528.46	5	2	52
"$19,236.36"	1	9	19
"$1,145.33"	1	1	11
$668.56	6	6	66
"$16,236.04"	1	6	16
"$19,492.85"	1	9	19
"$19,114.74"	1	9	19
$837.12	8	3	83
"$12,628.62"	1	2	12
"$16,613.17"	1	6	16
"$14,313.02"	1	4	14
"$14,265.13"	1	4	14
"$1,718.77"	1	7	17
$186.00	1	8	18
"$10,456.75"	1	0	10
"$17,954.63"	1	7	17
"$14,418.72"	1	4	14
"$12,060.60"	1	2	12
$662.40	6	6	66
"$17,989.54"	1	7	17
"$2,221.25"	2	2	22
"$15,301.32"	1	5	15
"$15,367.97"	1	5	15
$782.62	7	8	78
"$17,093.38"	1	7	17
"$14,103.23"	1	4	14
"$15,267.56"	1	5	15
"$16,110.39"	1	6	16
"$9,486.50"	9	4	94
"$14,156.10"	1	4	14
"$8,186.00"	8	1	81
"$2,708.11"	2	7	27
"$23,376.91"	2	3	23
$703.94	7	0	70
"$15,602.76"	1	5	15
"$14,312.18"	1	4	14
$443.06	4	4	44
"$15,025.46"	1	5	15
"$1,216.24"	1	2	12
"$7,744.76"	7	7	77
"$14,738.51"	1	4	14
"$3,677.05"	3	6	36
"$4,453.87"	4	4	44
$861.70	8	6	86
$37.83	3	7	37
"$13,696.01"	1	3	13
"$14,816.76"	1	4	14
"$19,729.85"	1	9	19
"$1,911.53"	1	9	19
"$9,111.18"	9	1	91
"$27,914.71"	2	7	27
"$22,691.65"	2	2	22
$484.45	4	8	48
"$15,259.83"	1	5	15
"$11,399.61"	1	1	11
"$19,215.85"	1	9	19
$773.15	7	7	77
"$1,855.29"	1	8	18
"$20,573.47"	2	0	20
"$19,418.23"	1	9	19
"$16,235.82"	1	6	16
"$13,126.55"	1	3	13
"$16,549.30"	1	6	16
"$14,810.80"	1	4	14
"$1,012.89"	1	0	10
"$14,857.66"	1	4	14
$186.00	1	8	18
"$15,378.68"	1	5	15
"$1,877.93"	1	8	18
"$16,745.82"	1	6	16
"$11,077.77"	1	1	11
$743.96	7	4	74
"$11,158.29"	1	1	11
"$2,231.95"	2	2	22
"$16,993.39"	1	6	16
"$13,086.83"	1	3	13
"$14,567.44"	1	4	14
"$14,896.14"	1	4	14
"$14,840.73"	1	4	14
"$12,606.70"	1	2	12
"$14,137.37"	1	4	14
"$14,656.29"	1	4	14
"$8,777.93"	8	7	87
"$1,203.76"	1	2	12
"$13,304.35"	1	3	13
"$2,229.56"	2	2	22
"$20,737.06"	2	0	20
$675.74	6	7	67
"$7,115.24"	7	1	71
"$12,722.18"	1	2	12
$345.36	3	4	34
"$12,023.71"	1	2	12
$864.37	8	6	86
"$14,445.26"	1	4	14
"$7,969.97"	7	9	79
"$14,399.88"	1	4	14
"$3,797.44"	3	7	37
"$4,161.73"	4	1	41
"$18,501.58"	1	8	18
$56.99	5	6	56
$857.33	8	5	85
"$12,018.08"	1	2	12
"$8,335.83"	8	3	83
"$18,802.16"	1	8	18
"$1,697.81"	1	6	16
$112.36	1	1	11
"$28,381.26"	2	8	28
"$11,539.55"	1	1	11
"$23,019.77"	2	3	23
$461.07	4	6	46
"$15,294.73"	1	5	15
"$1,066.54"	1	0	10
$878.74	8	7	87
"$18,121.81"	1	8	18
"$17,663.26"	1	7	17
"$16,838.75"	1	6	16
"$15,324.61"	1	5	15
"$1,200.75"	1	2	12
"$13,401.61"	1	3	13
$186.00	1	8	18
"$15,795.72"	1	5	15
"$13,754.55"	1	3	13
"$1,797.57"	1	7	17
"$9,998.33"	9	9	99
"$13,791.88"	1	3	13
"$1,341.79"	1	3	13
$483.89	4	8	48
"$1,663.57"	1	6	16
"$16,223.47"	1	6	16
"$10,704.63"	1	0	10
"$10,922.30"	1	0	10
"$14,970.42"	1	4	14
"$14,395.58"	1	4	14
"$11,585.43"	1	1	11
"$13,353.36"	1	3	13
"$1,261.19"	1	2	12
"$8,260.65"	8	2	82
"$14,509.47"	1	4	14
"$12,084.83"	1	2	12
"$9,293.46"	9	2	92
"$19,610.26"	1	9	19
"$1,835.78"	1	8	18
"$11,364.29"	1	1	11
$772.81	7	7	77
$359.33	3	5	35
"$11,467.60"	1	1	11
"$6,524.41"	6	5	65
"$12,486.84"	1	2	12
$668.03	6	6	66
"$13,774.46"	1	3	13
$772.78	7	7	77
"$13,285.47"	1	3	13
$712.07	7	1	71
"$13,180.84"	1	3	13
$930.51	9	3	93
"$10,996.10"	1	0	10
"$7,227.87"	7	2	72
"$8,552.15"	8	5	85
$238.48	2	3	23
"$12,453.98"	1	2	12
"$10,861.04"	1	0	10
$22.09	2	2	22
$935.57	9	3	93
"$12,723.25"	1	2	12
"$3,578.65"	3	5	35
"$3,126.02"	3	1	31
"$6,759.50"	6	7	67
"$1,020.91"	1	0	10
$25.61	2	5	25
"$13,651.40"	1	3	13
"$24,559.56"	2	4	24
$88.00	8	8	88
$188.86	1	8	18
"$1,054.96"	1	0	10
"$2,172.19"	2	1	21
"$1,735.11"	1	7	17
"$4,889.61"	4	8	48
$499.47	4	9	49
$989.19	9	8	98
$618.60	6	1	61
$237.03	2	3	23
$634.86	6	3	63
$145.67	1	4	14
$491.69	4	9	49
$466.84	4	6	46
$300.77	3	0	30
$213.55	2	1	21
$248.94	2	4	24
$198.75	1	9	19
$46.70	4	6	46
"$1,152.28"	1	1	11
"$1,203.80"	1	2	12
"$3,500.00"	3	5	35
$35.00	3	5	35
$96.38	9	6	96
$30.78	3	0	30
$30.60	3	0	30
$40.00	4	0	40
$30.00	3	0	30
"$4,760.00"	4	7	47
"$6,020.00"	6	0	60
"$5,180.00"	5	1	51
"$2,870.00"	2	8	28
"$5,250.00"	5	2	52
"$5,670.00"	5	6	56
"$6,020.00"	6	0	60
"$6,510.00"	6	5	65
"$6,510.00"	6	5	65
"$6,020.00"	6	0	60
"$6,580.00"	6	5	65
"$4,760.00"	4	7	47
"$6,720.00"	6	7	67
"$5,810.00"	5	8	58
"$4,550.00"	4	5	45
"$5,320.00"	5	3	53
"$5,600.00"	5	6	56
"$5,740.00"	5	7	57
"$5,670.00"	5	6	56
"$5,530.00"	5	5	55
"$5,110.00"	5	1	51
"$5,810.00"	5	8	58
"$4,060.00"	4	0	40
"$5,040.00"	5	0	50
"$3,290.00"	3	2	32
"$5,040.00"	5	0	50
"$4,900.00"	4	9	49
"$3,990.00"	3	9	39
"$5,040.00"	5	0	50
"$4,130.00"	4	1	41
"$4,690.00"	4	6	46
"$3,920.00"	3	9	39
"$3,430.00"	3	4	34
"$3,710.00"	3	7	37
"$3,080.00"	3	0	30
"$2,730.00"	2	7	27
"$1,330.00"	1	3	13
$700.00	7	0	70
$700.00	7	0	70
"$2,590.00"	2	5	25
"$1,680.00"	1	6	16
"$1,120.00"	1	1	11
"$1,890.00"	1	8	18
"$2,450.00"	2	4	24
"$1,470.00"	1	4	14
"$3,710.00"	3	7	37
"$1,760.37"	1	7	17
$668.37	6	6	66
"$2,139.94"	2	1	21
$681.01	6	8	68
"$5,635.87"	5	6	56
$631.78	6	3	63
"$2,247.72"	2	2	22
"$2,314.88"	2	3	23
"$2,430.63"	2	4	24
"$2,108.35"	2	1	21
"$3,024.76"	3	0	30
"$1,522.50"	1	5	15
$50.00	5	0	50
$695.00	6	9	69
"$10,000.00"	1	0	10
"$3,000.00"	3	0	30
"$1,300.00"	1	3	13
"$8,180.00"	8	1	81
"$5,075.00"	5	0	50
"$1,300.00"	1	3	13
"$5,255.00"	5	2	52
"$1,200.00"	1	2	12
$400.00	4	0	40
"$1,270.00"	1	2	12
"$1,300.00"	1	3	13
"$1,300.00"	1	3	13
"$1,300.00"	1	3	13
"$1,300.00"	1	3	13
"$1,300.00"	1	3	13
"$1,225.00"	1	2	12
$720.00	7	2	72
$422.61	4	2	42
$408.69	4	0	40
"$7,475.87"	7	4	74
"$7,889.36"	7	8	78
$363.40	3	6	36
"$8,006.28"	8	0	80
$600.00	6	0	60
"$9,261.27"	9	2	92
"$36,655.84"	3	6	36
"$74,416.68"	7	4	74
"$15,146.31"	1	5	15
"$5,091.29"	5	0	50
"$5,496.77"	5	4	54
"$5,444.29"	5	4	54
"$5,140.28"	5	1	51
$603.96	6	0	60
"$1,679.58"	1	6	16
"$22,567.79"	2	2	22
$448.60	4	4	44
"$2,500.00"	2	5	25
"$1,336.50"	1	3	13
$55.00	5	5	55
$395.00	3	9	39
"$1,040.82"	1	0	10
"$1,336.50"	1	3	13
$55.00	5	5	55
$385.00	3	8	38
"$1,040.82"	1	0	10
"$1,040.82"	1	0	10
$125.19	1	2	12
$161.70	1	6	16
"$119,429.14"	1	1	11
"$10,829.76"	1	0	10
"$25,078.00"	2	5	25
"$8,643.02"	8	6	86
"$4,512.40"	4	5	45
"$18,044.96"	1	8	18
"$18,251.73"	1	8	18
"$13,616.37"	1	3	13
"$28,101.87"	2	8	28
"$3,814.52"	3	8	38
"$9,319.84"	9	3	93
"$19,706.68"	1	9	19
"$19,854.56"	1	9	19
"$94,766.90"	9	4	94
"$86,715.56"	8	6	86
"$34,294.24"	3	4	34
"$8,199.00"	8	1	81
"$4,130.63"	4	1	41
"$2,669.39"	2	6	26
"$7,660.56"	7	6	76
"$7,660.56"	7	6	76
"$5,169.09"	5	1	51
"$4,445.77"	4	4	44
"$1,995.00"	1	9	19
"$5,578.88"	5	5	55
"$3,749.99"	3	7	37
$86.60	8	6	86
$86.60	8	6	86
$86.60	8	6	86
"$1,966.98"	1	9	19
$27.12	2	7	27
$43.10	4	3	43
"$2,972.53"	2	9	29
$152.17	1	5	15
$445.07	4	4	44
"$3,737.12"	3	7	37
"$2,762.46"	2	7	27
$257.40	2	5	25
$150.00	1	5	15
"$11,151.21"	1	1	11
"$1,177.03"	1	1	11
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$3,007.50"	3	0	30
"$2,070.00"	2	0	20
"$2,400.00"	2	4	24
"$2,310.00"	2	3	23
"$2,600.00"	2	6	26
"$2,535.00"	2	5	25
"$2,600.00"	2	6	26
"$3,007.50"	3	0	30
"$2,600.00"	2	6	26
"$2,145.00"	2	1	21
"$2,600.00"	2	6	26
"$2,115.00"	2	1	21
"$2,600.00"	2	6	26
"$2,400.00"	2	4	24
"$1,860.00"	1	8	18
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,010.00"	2	0	20
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,600.00"	2	6	26
"$2,700.00"	2	7	27
"$15,120.00"	1	5	15
$50.00	5	0	50
$590.00	5	9	59
$573.75	5	7	57
"$374,272.83"	3	7	37
"$3,795.11"	3	7	37
$246.34	2	4	24
"$251,904.70"	2	5	25
"$198,018.48"	1	9	19
$205.10	2	0	20
$2.84	2	8	28
"$204,312.36"	2	0	20
"$222,502.64"	2	2	22
"$195,768.95"	1	9	19
$145.88	1	4	14
"$206,796.24"	2	0	20
"$4,219.61"	4	2	42
"$294,872.18"	2	9	29
$4.26	4	2	42
"$320,223.90"	3	2	32
$153.24	1	5	15
"$277,991.64"	2	7	27
$531.27	5	3	53
"$396,250.52"	3	9	39
"$230,586.41"	2	3	23
$289.09	2	8	28
$5.65	5	6	56
$97.27	9	7	97
$113.95	1	1	11
$75.24	7	5	75
$59.33	5	9	59
$82.84	8	2	82
$83.88	8	3	83
$88.88	8	8	88
"$1,460.69"	1	4	14
$79.84	7	9	79
$261.91	2	6	26
$465.00	4	6	46
"$1,486.75"	1	4	14
"$1,169.64"	1	1	11
"$1,188.41"	1	1	11
$581.90	5	8	58
$979.98	9	7	97
$992.23	9	9	99
"$1,041.84"	1	0	10
"$4,290.61"	4	2	42
"$3,651.88"	3	6	36
"$1,796.26"	1	7	17
"$2,850.00"	2	8	28
$698.93	6	9	69
$542.81	5	4	54
$314.61	3	1	31
$289.66	2	8	28
$576.00	5	7	57
$648.00	6	4	64
$25.00	2	5	25
$25.00	2	5	25
$160.24	1	6	16
$504.00	5	0	50
$862.40	8	6	86
$646.00	6	4	64
$344.00	3	4	34
$589.00	5	8	58
$536.00	5	3	53
$424.00	4	2	42
$809.60	8	0	80
($79.20)	7	9	79
$668.15	6	6	66
$380.57	3	8	38
$25.00	2	5	25
$43.75	4	3	43
$99.10	9	9	99
$648.00	6	4	64
$664.00	6	6	66
$640.00	6	4	64
$658.00	6	5	65
$705.60	7	0	70
$472.00	4	7	47
$612.25	6	1	61
$760.00	7	6	76
$198.20	1	9	19
$644.00	6	4	64
$840.00	8	4	84
$844.00	8	4	84
$410.62	4	1	41
$810.00	8	1	81
$640.00	6	4	64
$783.20	7	8	78
$528.00	5	2	52
$654.88	6	5	65
$748.00	7	4	74
$531.30	5	3	53
$138.74	1	3	13
$648.00	6	4	64
$640.00	6	4	64
$743.60	7	4	74
$664.00	6	6	66
$883.20	8	8	88
$448.00	4	4	44
$713.00	7	1	71
$632.00	6	3	63
$91.98	9	1	91
$619.85	6	1	61
$810.00	8	1	81
$114.98	1	1	11
($322.08)	3	2	32
$394.45	3	9	39
$706.00	7	0	70
$783.20	7	8	78
$844.00	8	4	84
$782.40	7	8	78
$592.00	5	9	59
$620.00	6	2	62
$748.00	7	4	74
$571.55	5	7	57
$198.20	1	9	19
$640.26	6	4	64
$99.10	9	9	99
$648.00	6	4	64
$266.08	2	6	26
$198.20	1	9	19
$810.00	8	1	81
$224.51	2	2	22
$198.20	1	9	19
$598.68	5	9	59
$648.00	6	4	64
$690.15	6	9	69
$810.00	8	1	81
$198.20	1	9	19
$665.20	6	6	66
$810.00	8	1	81
